URL,Version,Status,OIDs,Name,Title,Descriptino,Used
http://agenda.cl/CodeSystem/CSPrestaciones,0.1.0,active,,CSPrestaciones,CS Prestaciones,"Codigos de las prestaciones","ValueSet/VSPrestaciones"
http://agenda.cl/CodeSystem/CSPrevision,0.1.0,active,,CSPrevision,CS Prevision,"Codigos de la previsión del paciente","ValueSet/VSPrevision"
http://agenda.cl/CodeSystem/CSServicios,0.1.0,active,,CSServicios,CSServicios,"Aca estan los codigos del servicio del prestador que dara la cita","ValueSet/VSServicios"
http://agenda.cl/CodeSystem/CSSintomasEspeciales,0.1.0,active,,CSSintomasEspeciales,CS Sintomas Especiales,"Codigos de los sintomas que presenta el paciente.","ValueSet/VSSintomasEspeciales"
http://agenda.cl/CodeSystem/CSUrgenciaPercibida,0.1.0,active,,CSUrgenciaPercibida,CS Urgencia Percibida,"Codidos de la urgencia percibida segun el paciente.","ValueSet/VSUrgenciaPercibida"
http://snomed.info/sct,null,active,"2.16.840.1.113883.6.96",SNOMED_CT,SNOMED CT (all versions),"SNOMED CT is the most comprehensive and precise clinical health terminology product in the world, owned and distributed around the world by The International Health Terminology Standards Development Organisation (IHTSDO).","ValueSet/c80-practice-codes"
http://terminology.hl7.org/CodeSystem/v2-0203,4.0.0,active,"2.16.840.1.113883.18.108",IdentifierType,identifierType,"HL7-defined code system of concepts specifying type of identifier. Used in HL7 Version 2.x messaging data types CX, PLN, PPN, XCN and XON.","ValueSet/VSTiposDocumentos"
https://hl7chile.cl/fhir/ig/clcore/CodeSystem/CSCodigoDNI,1.8.5,active,,CSCodigoDNI,Códigos de Documentos DNI para LATAM y el Caribe,"Códigos para los DNI de países de America Latina y el Caribe según indicaciones de VS HL7 de V3","ValueSet/VSTiposDocumentos"
https://hl7chile.cl/fhir/ig/clcore/CodeSystem/CSEspecialidadesDeisCL,1.8.5,active,,CSEspecialidadesDeisCL,Códigos de Especialidades,"Códigos de especialidades médicas descritas según DEIS","ValueSet/VSEspecialidadesDeisCL"
https://hl7chile.cl/fhir/ig/clcore/CodeSystem/CSTipoIdentificador,1.8.5,active,,CSTipoIdentificador,Tipo Identificador,"Tipo Identificador","ValueSet/VSTiposDocumentos"
